Китай,   1339450000
Индия,	1187550000
США,	310241000
Индонезия,	237556000
Бразилия,	193467000
Пакистан,	170532000
Бангладеш,	164425000
Нигерия,	158259000
Россия,	143300000
Япония,	127390000
Мексика,	108396000
Филиппины,	94013000
Вьетнам,	85847000
Эфиопия,	84390000
Германия,	81802000
Египет,	79020000


